ID,Airplane Tail,Software Crate Number,Software Part Number,Features,Episode Start Date
0,NHBVOI,WDC7N-X1AHL-DB97I,VS4S3-XYPJ1-ONO8Z,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-01T00:08:00
1,NAEDAI,C2H2Y-GKI0N-PAFSO,0019N-BNE01-260SZ,['E3'],2022-01-01T03:30:03
2,NAEDAI,LXSXZ-QB89Y-95WWL,P5BYS-15Y4I-GX7DY,['E3'],2022-01-01T04:47:11
3,NAEDAI,ZW1AD-R2UCO-BQVVH,YAN3N-CZWFM-4SGQV,['E3'],2022-01-01T04:47:25
4,NAEDAI,1GRLC-4HD65-K5RVH,EHPCN-RPNLR-KJVAC,['E3'],2022-01-01T04:47:48
5,NAEDAI,5IQ1T-51UL0-VJUK9,359IV-RV5PC-1K5NM,['E3'],2022-01-01T04:48:00
6,NAEDAI,RCGU8-AYNZ7-N2HHO,9DT1H-6EYNR-FD6R4,['E3'],2022-01-01T04:48:13
7,NAEDAI,SHYMT-ZGTMT-U04EU,37IVS-LWPEA-XG2F2,['E3'],2022-01-01T04:49:03
8,NAEDAI,6N90V-4HZPQ-33NFP,VSK1R-17L91-8LM42,['E3'],2022-01-01T07:41:38
9,NAEDAI,G0SSI-3HMJU-AXIEA,VSK1R-17L91-8LM42,['E3'],2022-01-01T08:04:40
10,NAEDAI,ZXLEH-WDFQ6-TSFLJ,VSK1R-17L91-8LM42,['F5'],2022-01-01T08:04:40
11,NAEDAI,OLGIH-OX7TG-BHQ7W,VSK1R-17L91-8LM42,['F5'],2022-01-01T08:07:52
12,NAEDAI,56CZ6-NLPSS-8M0II,VSK1R-17L91-8LM42,['E3'],2022-01-01T08:08:35
13,NHBVOI,WDC7N-X1AHL-DB97I,VS4S3-XYPJ1-ONO8Z,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-01T14:31:42
14,NAEDAI,YFF6L-T6WFU-BSUJ4,OO8W5-ZH9ID-PYDU5,['E3'],2022-01-01T16:19:55
15,NAEDAI,7X2RH-CHO0M-XM2GO,KR7BA-LBC3L-MXA0B,['E3'],2022-01-02T16:03:08
16,NDWOVW,38UD2-UNFCX-9F3F3,59KZR-BUS59-7ASO5,['F5'],2022-01-04T06:04:19
